[-10 -50  -1]
[-10 -50   1]
[ -9 -50  -4]
[ -9 -50  -3]
[ -9 -50  -2]
[ -9 -50  -1]
[ -9 -50   1]
[ -9 -50   2]
[ -9 -50   3]
[ -9 -50   4]
[ -8 -50  -6]
[ -8 -50  -5]
[ -8 -50  -4]
[ -8 -50  -3]
[ -8 -50  -2]
[ -8 -50  -1]
[ -8 -50   1]
[ -8 -50   2]
[ -8 -50   3]
[ -8 -50   4]
[ -8 -50   5]
[ -8 -50   6]
[ -7 -50  -7]
[ -7 -50  -6]
[ -7 -50  -5]
[ -7 -50  -4]
[ -7 -50  -3]
[ -7 -50  -2]
[ -7 -50  -1]
[ -7 -50   1]
[ -7 -50   2]
[ -7 -50   3]
[ -7 -50   4]
[ -7 -50   5]
[ -7 -50   6]
[ -7 -50   7]
[ -6 -50  -8]
[ -6 -50  -7]
[ -6 -50  -6]
[ -6 -50  -5]
[ -6 -50  -4]
[ -6 -50  -3]
[ -6 -50  -2]
[ -6 -50  -1]
[ -6 -50   1]
[ -6 -50   2]
[ -6 -50   3]
[ -6 -50   4]
[ -6 -50   5]
[ -6 -50   6]
[ -6 -50   7]
[ -6 -50   8]
[ -5 -50  -8]
[ -5 -50  -7]
[ -5 -50  -6]
[ -5 -50  -5]
[ -5 -50  -4]
[ -5 -50  -3]
[ -5 -50  -2]
[ -5 -50  -1]
[ -5 -50   1]
[ -5 -50   2]
[ -5 -50   3]
[ -5 -50   4]
[ -5 -50   5]
[ -5 -50   6]
[ -5 -50   7]
[ -5 -50   8]
[ -4 -50  -9]
[ -4 -50  -8]
[ -4 -50  -7]
[ -4 -50  -6]
[ -4 -50  -5]
[ -4 -50  -4]
[ -4 -50  -3]
[ -4 -50  -2]
[ -4 -50  -1]
[ -4 -50   1]
[ -4 -50   2]
[ -4 -50   3]
[ -4 -50   4]
[ -4 -50   5]
[ -4 -50   6]
[ -4 -50   7]
[ -4 -50   8]
[ -4 -50   9]
[ -3 -50  -9]
[ -3 -50  -8]
[ -3 -50  -7]
[ -3 -50  -6]
[ -3 -50  -5]
[ -3 -50  -4]
[ -3 -50  -3]
[ -3 -50  -2]
[ -3 -50  -1]
[ -3 -50   1]
[ -3 -50   2]
[ -3 -50   3]
[ -3 -50   4]
[ -3 -50   5]
[ -3 -50   6]
[ -3 -50   7]
[ -3 -50   8]
[ -3 -50   9]
[ -2 -50  -9]
[ -2 -50  -8]
[ -2 -50  -7]
[ -2 -50  -6]
[ -2 -50  -5]
[ -2 -50  -4]
[ -2 -50  -3]
[ -2 -50  -2]
[ -2 -50  -1]
[ -2 -50   1]
[ -2 -50   2]
[ -2 -50   3]
[ -2 -50   4]
[ -2 -50   5]
[ -2 -50   6]
[ -2 -50   7]
[ -2 -50   8]
[ -2 -50   9]
[ -1 -50 -10]
[ -1 -50  -9]
[ -1 -50  -8]
[ -1 -50  -7]
[ -1 -50  -6]
[ -1 -50  -5]
[ -1 -50  -4]
[ -1 -50  -3]
[ -1 -50  -2]
[ -1 -50  -1]
[ -1 -50   1]
[ -1 -50   2]
[ -1 -50   3]
[ -1 -50   4]
[ -1 -50   5]
[ -1 -50   6]
[ -1 -50   7]
[ -1 -50   8]
[ -1 -50   9]
[ -1 -50  10]
[  1 -50 -10]
[  1 -50  -9]
[  1 -50  -8]
[  1 -50  -7]
[  1 -50  -6]
[  1 -50  -5]
[  1 -50  -4]
[  1 -50  -3]
[  1 -50  -2]
[  1 -50  -1]
[  1 -50   1]
[  1 -50   2]
[  1 -50   3]
[  1 -50   4]
[  1 -50   5]
[  1 -50   6]
[  1 -50   7]
[  1 -50   8]
[  1 -50   9]
[  1 -50  10]
[  2 -50  -9]
[  2 -50  -8]
[  2 -50  -7]
[  2 -50  -6]
[  2 -50  -5]
[  2 -50  -4]
[  2 -50  -3]
[  2 -50  -2]
[  2 -50  -1]
[  2 -50   1]
[  2 -50   2]
[  2 -50   3]
[  2 -50   4]
[  2 -50   5]
[  2 -50   6]
[  2 -50   7]
[  2 -50   8]
[  2 -50   9]
[  3 -50  -9]
[  3 -50  -8]
[  3 -50  -7]
[  3 -50  -6]
[  3 -50  -5]
[  3 -50  -4]
[  3 -50  -3]
[  3 -50  -2]
[  3 -50  -1]
[  3 -50   1]
[  3 -50   2]
[  3 -50   3]
[  3 -50   4]
[  3 -50   5]
[  3 -50   6]
[  3 -50   7]
[  3 -50   8]
[  3 -50   9]
[  4 -50  -9]
[  4 -50  -8]
[  4 -50  -7]
[  4 -50  -6]
[  4 -50  -5]
[  4 -50  -4]
[  4 -50  -3]
[  4 -50  -2]
[  4 -50  -1]
[  4 -50   1]
[  4 -50   2]
[  4 -50   3]
[  4 -50   4]
[  4 -50   5]
[  4 -50   6]
[  4 -50   7]
[  4 -50   8]
[  4 -50   9]
[  5 -50  -8]
[  5 -50  -7]
[  5 -50  -6]
[  5 -50  -5]
[  5 -50  -4]
[  5 -50  -3]
[  5 -50  -2]
[  5 -50  -1]
[  5 -50   1]
[  5 -50   2]
[  5 -50   3]
[  5 -50   4]
[  5 -50   5]
[  5 -50   6]
[  5 -50   7]
[  5 -50   8]
[  6 -50  -8]
[  6 -50  -7]
[  6 -50  -6]
[  6 -50  -5]
[  6 -50  -4]
[  6 -50  -3]
[  6 -50  -2]
[  6 -50  -1]
[  6 -50   1]
[  6 -50   2]
[  6 -50   3]
[  6 -50   4]
[  6 -50   5]
[  6 -50   6]
[  6 -50   7]
[  6 -50   8]
[  7 -50  -7]
[  7 -50  -6]
[  7 -50  -5]
[  7 -50  -4]
[  7 -50  -3]
[  7 -50  -2]
[  7 -50  -1]
[  7 -50   1]
[  7 -50   2]
[  7 -50   3]
[  7 -50   4]
[  7 -50   5]
[  7 -50   6]
[  7 -50   7]
[  8 -50  -6]
[  8 -50  -5]
[  8 -50  -4]
[  8 -50  -3]
[  8 -50  -2]
[  8 -50  -1]
[  8 -50   1]
[  8 -50   2]
[  8 -50   3]
[  8 -50   4]
[  8 -50   5]
[  8 -50   6]
[  9 -50  -4]
[  9 -50  -3]
[  9 -50  -2]
[  9 -50  -1]
[  9 -50   1]
[  9 -50   2]
[  9 -50   3]
[  9 -50   4]
[ 10 -50  -1]
[ 10 -50   1]
[-14 -49  -2]
[-14 -49  -1]
[-14 -49   1]
[-14 -49   2]
[-13 -49  -5]
[-13 -49  -4]
[-13 -49  -3]
[-13 -49  -2]
[-13 -49  -1]
[-13 -49   1]
[-13 -49   2]
[-13 -49   3]
[-13 -49   4]
[-13 -49   5]
[-12 -49  -7]
[-12 -49  -6]
[-12 -49  -5]
[-12 -49  -4]
[-12 -49  -3]
[-12 -49  -2]
[-12 -49  -1]
[-12 -49   1]
[-12 -49   2]
[-12 -49   3]
[-12 -49   4]
[-12 -49   5]
[-12 -49   6]
[-12 -49   7]
[-11 -49  -8]
[-11 -49  -7]
[-11 -49  -6]
[-11 -49  -5]
[-11 -49  -4]
[-11 -49  -3]
[-11 -49  -2]
[-11 -49  -1]
[-11 -49   1]
[-11 -49   2]
[-11 -49   3]
[-11 -49   4]
[-11 -49   5]
[-11 -49   6]
[-11 -49   7]
[-11 -49   8]
[-10 -49 -10]
[-10 -49  -9]
[-10 -49  -8]
[-10 -49  -7]
[-10 -49  -6]
[-10 -49  -5]
[-10 -49  -4]
[-10 -49  -3]
[-10 -49  -2]
[-10 -49  -1]
[-10 -49   1]
[-10 -49   2]
[-10 -49   3]
[-10 -49   4]
[-10 -49   5]
[-10 -49   6]
[-10 -49   7]
[-10 -49   8]
[-10 -49   9]
[-10 -49  10]
[ 10 -49 -10]
[ 10 -49  -9]
[ 10 -49  -8]
[ 10 -49  -7]
[ 10 -49  -6]
[ 10 -49  -5]
[ 10 -49  -4]
[ 10 -49  -3]
[ 10 -49  -2]
[ 10 -49  -1]
[ 10 -49   1]
[ 10 -49   2]
[ 10 -49   3]
[ 10 -49   4]
[ 10 -49   5]
[ 10 -49   6]
[ 10 -49   7]
[ 10 -49   8]
[ 10 -49   9]
[ 10 -49  10]
[ 11 -49  -8]
[ 11 -49  -7]
[ 11 -49  -6]
[ 11 -49  -5]
[ 11 -49  -4]
[ 11 -49  -3]
[ 11 -49  -2]
[ 11 -49  -1]
[ 11 -49   1]
[ 11 -49   2]
[ 11 -49   3]
[ 11 -49   4]
[ 11 -49   5]
[ 11 -49   6]
[ 11 -49   7]
[ 11 -49   8]
[ 12 -49  -7]
[ 12 -49  -6]
[ 12 -49  -5]
[ 12 -49  -4]
[ 12 -49  -3]
[ 12 -49  -2]
[ 12 -49  -1]
[ 12 -49   1]
[ 12 -49   2]
[ 12 -49   3]
[ 12 -49   4]
[ 12 -49   5]
[ 12 -49   6]
[ 12 -49   7]
[ 13 -49  -5]
[ 13 -49  -4]
[ 13 -49  -3]
[ 13 -49  -2]
[ 13 -49  -1]
[ 13 -49   1]
[ 13 -49   2]
[ 13 -49   3]
[ 13 -49   4]
[ 13 -49   5]
[ 14 -49  -2]
[ 14 -49  -1]
[ 14 -49   1]
[ 14 -49   2]
[-17 -48  -2]
[-17 -48  -1]
[-17 -48   1]
[-17 -48   2]
[-16 -48  -6]
[-16 -48  -5]
[-16 -48  -4]
[-16 -48  -3]
[-16 -48  -2]
[-16 -48  -1]
[-16 -48   1]
[-16 -48   2]
[-16 -48   3]
[-16 -48   4]
[-16 -48   5]
[-16 -48   6]
[-15 -48  -8]
[-15 -48  -7]
[-15 -48  -6]
[-15 -48  -5]
[-15 -48  -4]
[-15 -48  -3]
[-15 -48  -2]
[-15 -48  -1]
[-15 -48   1]
[-15 -48   2]
[-15 -48   3]
[-15 -48   4]
[-15 -48   5]
[-15 -48   6]
[-15 -48   7]
[-15 -48   8]
[ 15 -48  -8]
[ 15 -48  -7]
[ 15 -48  -6]
[ 15 -48  -5]
[ 15 -48  -4]
[ 15 -48  -3]
[ 15 -48  -2]
[ 15 -48  -1]
[ 15 -48   1]
[ 15 -48   2]
[ 15 -48   3]
[ 15 -48   4]
[ 15 -48   5]
[ 15 -48   6]
[ 15 -48   7]
[ 15 -48   8]
[ 16 -48  -6]
[ 16 -48  -5]
[ 16 -48  -4]
[ 16 -48  -3]
[ 16 -48  -2]
[ 16 -48  -1]
[ 16 -48   1]
[ 16 -48   2]
[ 16 -48   3]
[ 16 -48   4]
[ 16 -48   5]
[ 16 -48   6]
[ 17 -48  -2]
[ 17 -48  -1]
[ 17 -48   1]
[ 17 -48   2]
[-19 -47  -5]
[-19 -47  -4]
[-19 -47  -3]
[-19 -47  -2]
[-19 -47  -1]
